French,Dansk
je,jeg
de,af
est,Øst
pas,ikke
le,DE
vous,DU
la,der
tu,du
que,at
un,EN
il,han
et,Og
à,har
a,har
ne,født
les,DE
ce,Denne
en,i
on,vi
ça,At
une,-en
ai,ai
pour,For
des,af
moi,Mig
qui,WHO
nous,Vi
y,y
mais,men
me,mig
dans,I
du,af
bien,GOD
elle,Hun
si,hvis
tout,Alle
plus,mere
non,Ingen
mon,Mine
suis,er
te,du
au,På
avec,med
va,gå
oui,Ja
toi,Du
fait,gør
ils,de
as,es
être,være
faire,AT GØRE
se,se
comme,som
était,var
sur,på
quoi,Hvad
ici,her
sais,vide
lui,ham
veux,mangel
ma,mine
là,der
rien,Intet
dit,sagde
es,er
où,Eller
votre,dine
pourquoi,Hvorfor
sont,er
cette,denne
quand,Når
par,ved
son,hende
ton,dine
peux,kan
vais,gå
dire,sige
alors,SÅ
comment,hvordan
avez,have
bon,God
ou,Eller
très,meget
merci,TAK
ont,have
même,endog
jamais,Aldrig
aussi,Også
voir,se
chose,ting
allez,Fortsæt
tous,alle
deux,to
ces,disse
faut,skal
sa,dens
êtes,er
été,sommer
ta,dine
fais,gør
